timestamp,latency,faithfulness,answer_relevance,context_precision
2026-03-26 15:17:12,3.95,0.98,1.0,0.92
2026-03-26 15:18:55,2.85,1.0,1.0,0.85
2026-03-26 15:19:33,4.12,1.0,1.0,0.98
2026-03-26 15:20:10,3.55,0.9,0.95,0.88
2026-03-26 15:21:44,5.25,1.0,1.0,1.0
2026-03-26 15:22:22,2.92,1.0,1.0,0.95
2026-03-26 15:23:55,4.11,0.95,1.0,0.9
2026-03-26 15:24:15,3.66,1.0,0.92,0.82
2026-03-26 15:25:33,4.77,1.0,1.0,1.0
2026-03-26 15:26:05,3.33,0.98,1.0,0.88
2026-03-26 15:27:12,2.45,1.0,1.0,0.95
2026-03-26 15:28:44,4.55,1.0,1.0,0.9
2026-03-26 15:29:22,5.88,0.92,0.95,0.85
2026-03-26 15:30:10,3.22,1.0,1.0,1.0
2026-03-26 15:31:33,4.65,1.0,1.0,0.92
2026-03-26 15:32:45,3.95,0.95,1.0,0.88
2026-03-26 15:33:55,2.77,1.0,1.0,0.98
2026-03-26 15:34:12,4.12,1.0,1.0,1.0
2026-03-26 15:35:44,3.44,0.98,0.92,0.9
2026-03-26 15:36:22,5.22,1.0,1.0,0.85
2026-03-26 15:37:10,4.05,1.0,1.0,1.0
2026-03-26 15:38:33,3.15,0.92,1.0,0.92
2026-03-26 15:39:45,2.66,1.0,1.0,0.88
2026-03-26 15:40:55,4.88,1.0,0.95,0.95
2026-03-26 15:41:12,3.33,0.95,1.0,1.0
2026-03-26 15:42:44,5.44,1.0,1.0,0.82
2026-03-26 15:43:22,4.12,1.0,1.0,0.9
2026-03-26 15:44:10,3.55,0.98,0.98,1.0
2026-03-26 15:45:33,2.88,1.0,1.0,0.92
2026-03-26 15:46:45,4.22,1.0,1.0,0.85
2026-03-26 15:47:55,3.66,0.92,1.0,0.98
2026-03-26 15:48:12,5.15,1.0,1.0,0.9
2026-03-26 15:49:44,3.75,1.0,1.0,1.0
2026-03-26 15:50:22,2.44,0.95,0.92,0.88
2026-03-26 15:51:10,4.33,1.0,1.0,0.95
2026-03-26 15:52:33,3.92,1.0,1.0,0.9
2026-03-26 15:53:45,5.65,0.98,0.95,0.82
2026-03-26 15:54:55,4.12,1.0,1.0,1.0
2026-03-26 15:55:12,3.05,1.0,1.0,0.92
2026-03-26 15:56:44,2.88,0.9,1.0,0.88
2026-03-26 15:57:22,4.66,1.0,1.0,0.98
2026-03-26 15:58:10,3.33,1.0,1.0,0.9
2026-03-26 15:59:33,5.44,0.95,0.92,1.0
2026-03-26 16:00:45,4.15,1.0,1.0,0.85
2026-03-26 16:01:55,3.77,1.0,1.0,0.92
2026-03-26 16:02:12,2.33,0.98,1.0,0.88
2026-03-26 16:03:44,4.85,1.0,1.0,1.0
2026-03-26 16:04:22,3.55,1.0,0.95,0.95
2026-03-26 16:05:10,5.22,0.92,1.0,0.82
2026-03-26 16:06:33,4.12,1.0,1.0,0.9
2026-03-26 16:07:45,3.66,1.0,1.0,1.0
2026-03-26 16:08:55,2.95,0.95,0.98,0.88
2026-03-26 16:09:12,4.44,1.0,1.0,0.92
2026-03-26 16:10:44,3.88,1.0,1.0,1.0
2026-03-26 16:11:22,6.12,0.9,1.0,0.85
2026-03-26 16:12:10,3.33,1.0,0.92,0.9
2026-03-26 16:13:33,4.75,1.0,1.0,0.98
2026-03-26 16:14:45,2.55,0.98,1.0,1.0
2026-03-26 16:15:55,4.12,1.0,1.0,0.88
2026-03-26 16:16:12,3.66,1.0,1.0,0.95
2026-03-26 16:17:44,5.44,0.92,0.95,0.9
2026-03-26 16:18:22,4.05,1.0,1.0,0.82
2026-03-26 16:19:10,3.22,1.0,1.0,1.0
2026-03-26 16:20:33,2.88,0.95,1.0,0.92
